# disclosure_anchor research-priority universe — v11 phase-1 candidate from the frozen public screen.
# Best attainable phase-1 candidate / still not GO; rules and hashes: watchlist-v11-manifest.json.
# Threshold outcome, not forced fill; blank optional fields inherit global defaults.
security_code,exchange,status,joined_date,lookback_days,sync_frequency,process_classes,note
688082,SSE,active,2026-08-23,,,,盛美半导体设备(上海)股份有限公司
300866,SZSE,active,2026-08-23,,,,安克创新科技股份有限公司
688630,SSE,active,2026-08-23,,,,合肥芯碁微电子装备股份有限公司
300711,SZSE,active,2026-08-23,,,,广州广哈通信股份有限公司
301162,SZSE,active,2026-08-23,,,,国能日新科技股份有限公司
600601,SSE,active,2026-08-23,,,,方正科技集团股份有限公司
301338,SZSE,active,2026-08-23,,,,东莞市凯格精机股份有限公司
300018,SZSE,active,2026-08-23,,,,武汉中元华电科技股份有限公司
300428,SZSE,active,2026-08-23,,,,立中四通轻合金集团股份有限公司
002140,SZSE,active,2026-08-23,,,,东华工程科技股份有限公司
603993,SSE,active,2026-08-23,,,,洛阳栾川钼业集团股份有限公司
688372,SSE,active,2026-08-23,,,,上海伟测半导体科技股份有限公司
301161,SZSE,active,2026-08-23,,,,上海唯万密封科技股份有限公司
688312,SSE,active,2026-08-23,,,,深圳市燕麦科技股份有限公司
301018,SZSE,active,2026-08-23,,,,广东申菱环境系统股份有限公司
000880,SZSE,active,2026-08-23,,,,潍柴重机股份有限公司
603005,SSE,active,2026-08-23,,,,苏州晶方半导体科技股份有限公司
688690,SSE,active,2026-08-23,,,,苏州纳微科技股份有限公司
002245,SZSE,active,2026-08-23,,,,江苏蔚蓝锂芯集团股份有限公司
688267,SSE,active,2026-08-23,,,,中触媒新材料股份有限公司
300602,SZSE,active,2026-08-23,,,,深圳市飞荣达科技股份有限公司
301192,SZSE,active,2026-08-23,,,,十堰市泰祥实业股份有限公司
301110,SZSE,active,2026-08-23,,,,青木科技股份有限公司
002202,SZSE,active,2026-08-23,,,,金风科技股份有限公司
300539,SZSE,active,2026-08-23,,,,宁波横河精密工业股份有限公司
603683,SSE,active,2026-08-23,,,,上海晶华胶粘新材料股份有限公司
603588,SSE,active,2026-08-23,,,,北京高能时代环境技术股份有限公司
688550,SSE,active,2026-08-23,,,,西安瑞联新材料股份有限公司
300049,SZSE,active,2026-08-23,,,,内蒙古福瑞医疗科技股份有限公司
603583,SSE,active,2026-08-23,,,,浙江捷昌线性驱动科技股份有限公司
605117,SSE,active,2026-08-23,,,,宁波德业科技股份有限公司
688486,SSE,active,2026-08-23,,,,龙迅半导体(合肥)股份有限公司
688080,SSE,active,2026-08-23,,,,北京映翰通网络技术股份有限公司
300990,SZSE,active,2026-08-23,,,,三河同飞制冷股份有限公司
000526,SZSE,active,2026-08-23,,,,学大(厦门)教育科技集团股份有限公司
300304,SZSE,active,2026-08-23,,,,江苏云意电气股份有限公司
601126,SSE,active,2026-08-23,,,,北京四方继保自动化股份有限公司
300697,SZSE,active,2026-08-23,,,,江阴电工合金股份有限公司
601677,SSE,active,2026-08-23,,,,河南明泰铝业股份有限公司
002911,SZSE,active,2026-08-23,,,,佛燃能源集团股份有限公司
300509,SZSE,active,2026-08-23,,,,江苏新美星包装机械股份有限公司
603500,SSE,active,2026-08-23,,,,浙江天台祥和实业股份有限公司
